label	load	cog_RESULT	jit_RESULT	jit_only_fails
pharo-contributions-xml-xmlparser	ok	RESULT pass=6020 fail=5 err=2 timeout=0 classes=151	RESULT pass=6020 fail=5 err=2 timeout=0 classes=151[IMAGE] RESULT pass=6020 fail=5 err=2 timeout=0 classes=151	0
vonbecmann-fisher-parser	ok	RESULT pass=288 fail=0 err=0 timeout=0 classes=43	RESULT pass=288 fail=0 err=0 timeout=0 classes=43[IMAGE] RESULT pass=288 fail=0 err=0 timeout=0 classes=43	0
tinchodias-ficus	ok	RESULT pass=51 fail=2 err=0 timeout=0 classes=14	RESULT pass=51 fail=2 err=0 timeout=0 classes=14[IMAGE] RESULT pass=51 fail=2 err=0 timeout=0 classes=14	0
uca-argentina-2026-buscandoelpharo	ok	RESULT pass=124 fail=0 err=0 timeout=0 classes=12	RESULT pass=124 fail=0 err=0 timeout=0 classes=12[IMAGE] RESULT pass=124 fail=0 err=0 timeout=0 classes=12	0
svenvc-ztimestamp	ok	RESULT pass=77 fail=0 err=0 timeout=0 classes=4	RESULT pass=77 fail=0 err=0 timeout=0 classes=4[IMAGE] RESULT pass=77 fail=0 err=0 timeout=0 classes=4	0
pharo-ai-linear-models	ok	RESULT pass=51 fail=0 err=1 timeout=0 classes=5	RESULT pass=51 fail=0 err=1 timeout=0 classes=5[IMAGE] RESULT pass=51 fail=0 err=1 timeout=0 classes=5	0
evref-bl-pharocompatibility	ok	RESULT pass=1 fail=0 err=0 timeout=0 classes=1	RESULT pass=1 fail=0 err=0 timeout=0 classes=1[IMAGE] RESULT pass=1 fail=0 err=0 timeout=0 classes=1	0
fouziray-escapeanalysispharo	ok	-	-	1
pharo-containers-containers-stack	ok	RESULT pass=45 fail=0 err=0 timeout=0 classes=3	RESULT pass=45 fail=0 err=0 timeout=0 classes=3[IMAGE] RESULT pass=45 fail=0 err=0 timeout=0 classes=3	0
moosetechnology-famix	ok	RESULT pass=1293 fail=5 err=2 timeout=0 classes=126	-	0
ba-st-stargate	ok	RESULT pass=372 fail=1 err=0 timeout=0 classes=69	RESULT pass=372 fail=1 err=0 timeout=0 classes=69[IMAGE] RESULT pass=372 fail=1 err=0 timeout=0 classes=69	0
zeroflag-teapot	ok	RESULT pass=79 fail=0 err=0 timeout=0 classes=23	RESULT pass=79 fail=0 err=0 timeout=0 classes=23[IMAGE] RESULT pass=79 fail=0 err=0 timeout=0 classes=23	0
pakarati-pharo-gsoc2025	ok	RESULT pass=66 fail=1 err=2 timeout=0 classes=14	RESULT pass=66 fail=1 err=2 timeout=0 classes=14[IMAGE] RESULT pass=66 fail=1 err=2 timeout=0 classes=14	0
moosetechnology-famixtagging	ok	RESULT pass=0 fail=0 err=115 timeout=0 classes=12	RESULT pass=0 fail=0 err=115 timeout=0 classes=12[IMAGE] RESULT pass=0 fail=0 err=115 timeout=0 classes=12	0
svenvc-p3	ok	RESULT pass=22 fail=0 err=70 timeout=3 classes=9	RESULT pass=21 fail=0 err=70 timeout=4 classes=9[IMAGE] RESULT pass=21 fail=0 err=70 timeout=4 classes=9	4
erikonbike-codeparadise	ok	RESULT pass=20 fail=1 err=12 timeout=0 classes=5	RESULT pass=20 fail=1 err=12 timeout=0 classes=5[IMAGE] RESULT pass=20 fail=1 err=12 timeout=0 classes=5	0
thalesgroup-pharoows	ok	RESULT pass=16 fail=0 err=0 timeout=0 classes=4	RESULT pass=7 fail=0 err=0 timeout=9 classes=4[IMAGE] RESULT pass=7 fail=0 err=0 timeout=9 classes=4	9
mumez-pharosmalltalkinteropserver	ok	RESULT pass=37 fail=0 err=0 timeout=0 classes=1	RESULT pass=37 fail=0 err=0 timeout=0 classes=1[IMAGE] RESULT pass=37 fail=0 err=0 timeout=0 classes=1	0
pharo-xp-tools-sindarin-dap	ok	RESULT pass=18 fail=0 err=0 timeout=0 classes=3	RESULT pass=18 fail=0 err=0 timeout=0 classes=3[IMAGE] RESULT pass=18 fail=0 err=0 timeout=0 classes=3	0
reugalabf-openweatherapi4pharo	ok	RESULT pass=8 fail=0 err=3 timeout=0 classes=2	RESULT pass=8 fail=0 err=3 timeout=0 classes=2[IMAGE] RESULT pass=8 fail=0 err=3 timeout=0 classes=2	0
pharo-llm-chatpharo	ok	-	-	0
thalesgroup-geoview	ok	-	-	0
feenkcom-pharolink	FAIL	-	-	-
driolar-soccertheory-pharo	ok	RESULT pass=78 fail=0 err=13 timeout=0 classes=16	RESULT pass=78 fail=0 err=12 timeout=1 classes=16[IMAGE] RESULT pass=78 fail=0 err=12 timeout=1 classes=16	1
