# 548 tests pass on cog but not on sunit-2026-04-20-jit-nojit
# columns: status	class	selector
error	AthensCairoCanvasTest	testTextExtentsAnswerValidData
error	AthensCairoMatrixTest	testCopy
error	AthensCairoMatrixTest	testIdentity
error	AthensCairoMatrixTest	testInvert
error	AthensCairoMatrixTest	testInverted
error	AthensCairoMatrixTest	testLoadAffineTransform
error	AthensCairoMatrixTest	testLoadIdentity
error	AthensCairoMatrixTest	testRestoreAfter
error	AthensCairoMatrixTest	testRotateByDegrees
error	AthensCairoMatrixTest	testRotateByRadians
error	AthensCairoMatrixTest	testScaleBy
error	AthensCairoMatrixTest	testScaleXY
error	AthensCairoMatrixTest	testTransform
error	AthensCairoMatrixTest	testTransformRectangle
error	AthensCairoMatrixTest	testTransformXY
error	AthensCairoMatrixTest	testTranslate
error	AthensCairoMatrixTest	testTranslateBy
error	AthensCairoMatrixTest	testTranslateXY
error	AthensCairoPDFSurfaceTest	testExportBoxes
error	AthensCairoPDFSurfaceTest	testExtent
error	AthensCairoPDFSurfaceTest	testHeight
error	AthensCairoPDFSurfaceTest	testWidth
error	AthensCairoSVGSurfaceTest	testExportBoxes
error	AthensCairoSVGSurfaceTest	testExtent
error	AthensCairoSVGSurfaceTest	testHeight
error	AthensCairoSVGSurfaceTest	testWidth
error	CairoLibraryTest	testVersionString
error	CavroisWindowManagerTest	testAddProfileFromWindows
error	CavroisWindowManagerTest	testCurrentProfile
error	CavroisWindowManagerTest	testDeleteProfile
error	CavroisWindowManagerTest	testRemovingCurrentProfileUpdateCurrentProfile
error	CavroisWindowManagerTest	testRemovingLastProfileUpdateCurrentProfile
error	CavroisWindowManagerTest	testSaveProfile
error	ChangesBrowserTest	testBuildDiffFor
error	ChangesBrowserTest	testChanges
error	ChangesBrowserTest	testInitializeWidgets
error	ChangesBrowserTest	testPickedChanges
error	CircleMorphTest	testForTiltedStickyness
error	CircleMorphTest	testIntoWorldCollapseOutOfWorld
error	CircleMorphTest	testIntoWorldDeleteOutOfWorld
error	CircleMorphTest	testIntoWorldTransferToNewGuy
error	CircleMorphTest	testOpenInWorld
error	ClapApplicationTest	testCanGetFlags
error	ClapApplicationTest	testCanPrintHelp
error	ClapApplicationTest	testCanPrintHelpWhenSubcommand
error	ClapCodeEvaluatorTest	testEvaluateAliasMultipleArguments
error	ClapCodeEvaluatorTest	testEvaluateAliasSingleArgument
error	ClapCodeEvaluatorTest	testEvaluatePipeIn
error	ClapCommandTest	testShouldArgumentsBeOkWhenMatched
error	ClapContextTest	testClapCommandDoesNotThrowError
error	ClapContextTest	testExecuteToExitPrintsValidationReportWhenValidationFails
error	ClapDocumentationTest	testFlagWithPositionalShouldPrintBothFlagAndPositional
error	ClapDocumentationTest	testHelloShortUsage
error	ClapHelloTest	testHello
error	ClapHelloTest	testHelloFrench
error	ClapHelloTest	testHelloShoutingLong
error	ClapHelloTest	testHelloShoutingShort
error	ClapHelloTest	testHelloSomeone
error	ClapHelloTest	testHelloWhisperingLong
error	ClapHelloTest	testHelloWhisperingShort
error	ClapPharoVersionTest	testDefaultFormat
error	ClapPharoVersionTest	testFullFormat
error	ClapPharoVersionTest	testHashFormat
error	ClapPharoVersionTest	testHelpFlag
error	ClapPharoVersionTest	testLicenseFormat
error	ClapPharoVersionTest	testMultipleFormats
error	ClapPharoVersionTest	testNumericFormat
error	ClapPharoVersionTest	testReleaseFormat
error	ClapPharoVersionTest	testVmFormat
error	ClapValidationTest	testErrorReportingWhenMissingNestedPositional
error	ClapValidationTest	testErrorReportingWhenNotMatched
fail	ClassQueryTest	testAllCallsOn
error	ClyBrowserToolValidityTest	testClassCommentToolIsNotValidWhenNotAClassContext
error	ClyBrowserToolValidityTest	testClassCommentToolIsNotValidWhenReferencingDifferentClass
error	ClyBrowserToolValidityTest	testClassCommentToolIsValidWhenReferencingSameClass
error	ClyBrowserToolValidityTest	testClassCreationToolIsNotValidWhenNotAPackageOrClassGroupContext
error	ClyBrowserToolValidityTest	testClassCreationToolIsNotValidWhenReferencingDifferentClassGroup
error	ClyBrowserToolValidityTest	testClassCreationToolIsNotValidWhenReferencingDifferentPackage
error	ClyBrowserToolValidityTest	testClassCreationToolIsValidWhenClassGroupContext
error	ClyBrowserToolValidityTest	testClassCreationToolIsValidWhenPackageContext
error	ClyBrowserToolValidityTest	testClassDefinitionToolIsNotValidWhenNotAClassContext
error	ClyBrowserToolValidityTest	testClassDefinitionToolIsNotValidWhenReferencingDifferentClass
error	ClyBrowserToolValidityTest	testClassDefinitionToolIsValidWhenClassContext
error	ClyBrowserToolValidityTest	testMethodEditorToolIsNotValidWhenNotAMethodContext
error	ClyBrowserToolValidityTest	testMethodEditorToolIsNotValidWhenReferencingDifferentMethod
error	ClyBrowserToolValidityTest	testMethodEditorToolIsValidWhenReferencingSameMethod
error	ClyBrowserToolValidityTest	testPackageCommentToolIsNotValidWhenNotAPackageOrClassGroupContext
error	ClyBrowserToolValidityTest	testPackageCommentToolIsNotValidWhenReferencingDifferentPackage
error	ClyBrowserToolValidityTest	testPackageCommentToolIsValidWhenClassGroupContext
error	ClyBrowserToolValidityTest	testPackageCommentToolIsValidWhenReferencingDifferentClassGroup
error	ClyBrowserToolValidityTest	testPackageCommmentToolIsValidWhenPackageContext
error	ClyBrowserToolValidityTest	testPackageSelectionAfterPackageCreation
error	ClyBrowserToolValidityTest	testSetUpToolIsNotValidWhenNotAClassContext
error	ClyBrowserToolValidityTest	testSetUpToolIsNotValidWhenReferencingDifferentClass
error	ClyBrowserToolValidityTest	testSetUpToolIsValidWhenReferencingSameClass
error	ClyBrowserToolValidityTest	testWindowLabelIsUpdatedAfterPackageRemoval
error	ClyBrowserToolValidityTest	testWindowLabelSetAfterPackageCreation
error	ClyFullBrowserStateTest	testRestoredBrowserInstanceWithMetaLevelScope
error	ClyFullBrowserStateTest	testRestoredBrowserInstanceWithMethodGroupQuery
error	ClyFullBrowserStateTest	testRestoredBrowserInstanceWithSystemScope
error	ClyFullBrowserStateTest	testRetrievesMetaLevelScope
error	ClyFullBrowserStateTest	testRetrievesMethodGroupContent
error	ClyFullBrowserStateTest	testRetrievesStateOfAllNavigationViews
error	ClyFullBrowserStateTest	testRetrievesSystemScope
error	ClyFullBrowserStateTest	testSelectedTabsAreNotBuild
error	ClyFullBrowserStateTest	testSelectedTabsWithoutBrowser
error	ClyFullBrowserStateTest	testSelectedTabsWithoutContext
error	ClyFullBrowserStateTest	testSelectedTabsWithoutOwner
error	ClyInstallMetaLinkPresenterTest	testInstallSelectedMetalink
error	ClyInstallMetaLinkPresenterTest	testInstallSelectedMetalinkActionButton
error	ClyInstallMetaLinkPresenterTest	testRelevantMetalinksForInstallation
error	ClyInstallMetaLinkPresenterTest	testRelevantMetalinksForUninstallation
error	ClyInstallMetaLinkPresenterTest	testToolbarButtonsCollectionSize
error	ClyInstallMetaLinkPresenterTest	testToolbarButtonsForMetalinkInstallation
error	ClyInstallMetaLinkPresenterTest	testToolbarButtonsForMetalinkUninstallation
error	ClyInstallMetaLinkPresenterTest	testUninstallSelectedMetalink
error	ClyInstallMetaLinkPresenterTest	testUninstallSelectedMetalinkActionButton
error	ClyNotebookPageRecyclerTest	testDoesNotRecycleToolWhenNotValidInContext
error	ClyNotebookPageRecyclerTest	testRecycleToolWhenValidInContext
error	ClyNotebookPageRecyclerTest	testTargetedToolsWhenManyContext
error	ClyNotebookPageRecyclerTest	testTargetedToolsWhenOneContext
error	ClyNotebookPageRecyclerTest	testToolsToInstall
error	ClyNotebookPageRecyclerTest	testToolsToKeepWhenManyContext
error	ClyNotebookPageRecyclerTest	testToolsToKeepWhenOneContext
error	ClyNotebookPageRecyclerTest	testToolsToRemoveWhenManyToolsToRemove
error	ClyQueryBrowserStateTest	testRestoredBrowserInstanceWithActiveScope
error	ClyQueryBrowserStateTest	testRestoredBrowserInstanceWithExpectedFlatQueryResult
error	ClyQueryBrowserStateTest	testRestoredBrowserInstanceWithMethodQuery
error	ClyQueryBrowserStateTest	testRestoredBrowserInstanceWithQueryScopes
error	ClyQueryBrowserStateTest	testRetrievesActiveScope
error	ClyQueryBrowserStateTest	testRetrievesExpectedFlatQueryResult
error	ClyQueryBrowserStateTest	testRetrievesMethodQuery
error	ClyQueryBrowserStateTest	testRetrievesQueryScopes
error	ClyQueryBrowserStateTest	testRetrievesStateOfAllNavigationViews
error	ClyQueryBrowserStateTest	testSelectedTabsAreNotBuild
error	ClyQueryBrowserStateTest	testSelectedTabsWithoutBrowser
error	ClyQueryBrowserStateTest	testSelectedTabsWithoutContext
error	ClyQueryBrowserStateTest	testSelectedTabsWithoutOwner
error	CoCompletionEngineCodeSnippetTest	testCompletion
error	CoCompletionEngineTest	testCmdCtrlLeft
error	CoCompletionEngineTest	testCmdCtrlRight
error	CoCompletionEngineTest	testCompleteSuper
error	CoCompletionEngineTest	testCompletionAfterKeyword
error	CoCompletionEngineTest	testCompletionAfterWord
error	CoCompletionEngineTest	testCompletionBeforeKeywordColumn
error	CoCompletionEngineTest	testCompletionBeforeWord
error	CoCompletionEngineTest	testCompletionOnBinary
error	CoCompletionEngineTest	testCompletionOnFirstLetter
error	CoCompletionEngineTest	testCompletionOnNoWord
error	CoCompletionEngineTest	testCompletionOnSingleLetter
error	CoCompletionEngineTest	testCompletionOpenOnUnderscore
error	CoCompletionEngineTest	testEndClosesCompletionContext
error	CoCompletionEngineTest	testEndGoesToEndOfLine
error	CoCompletionEngineTest	testExitingWordClosesCompletionContext
error	CoCompletionEngineTest	testHomeClosesCompletionContext
error	CoCompletionEngineTest	testHomeGoesToStartOfLine
error	CoCompletionEngineTest	testLeftWithoutResultsBroadensSelection
error	CoCompletionEngineTest	testLeftWithoutResultsDoesNotCloseContext
error	CoCompletionEngineTest	testOpenMenuCreatesCompletionContext
error	CoCompletionEngineTest	testReplaceKeywordTokenFollowedByAssignmentWithCaretInTheEndOfWordAfterCaretWithFollowingWordsReplacesEntireWord
error	CoCompletionEngineTest	testReplaceKeywordTokenFollowedByAssignmentWithCaretInTheEndOfWordWithFollowingWordsReplacesEntireWord
error	CoCompletionEngineTest	testReplaceKeywordTokenFollowedByAssignmentWithCaretInTheMiddleOfWordWithFollowingWordsReplacesEntireWord
error	CoCompletionEngineTest	testReplaceKeywordTokenWithCaretInTheEndOfWordAfterCaretWithFollowingWordsReplacesEntireWord
error	CoCompletionEngineTest	testReplaceKeywordTokenWithCaretInTheEndOfWordWithFollowingWordsReplacesEntireWord
error	CoCompletionEngineTest	testReplaceKeywordTokenWithCaretInTheMiddleOfWordWithFollowingWordsReplacesEntireWord
error	CoCompletionEngineTest	testReplaceTokenAfterMovingCaretToMiddleOfWordWithFollowingWordsReplacesEntireWord
error	CoCompletionEngineTest	testReplaceTokenWithAditionalSpace
error	CoCompletionEngineTest	testReplaceTokenWithCaretBeforeEndOfTextWithSpecialCharacterReplacesEntireWord
error	CoCompletionEngineTest	testReplaceTokenWithCaretInTheMiddleOfWordReplacesEntireWord
error	CoCompletionEngineTest	testReplaceTokenWithCaretInTheMiddleOfWordWithFollowingWordsReplacesEntireWord
error	CoCompletionEngineTest	testReplaceTokenWithCaretInTheMiddleOfWordWithFollowingWordsReplacesEntireWord2
error	CoCompletionEngineTest	testReplaceTokenWithCaretOnEndOfWordReplacesEntireWord
error	CoCompletionEngineTest	testReplaceWithSpaces2
error	CoCompletionEngineTest	testSmartBackspace
error	CoCompletionEngineTest	testSmartBackspaceOutsideSmartCharacters
error	CoCompletionEngineTest	testSmartCharacterAfterEspace
error	CoCompletionEngineTest	testSmartCharacterWithEventAndSelection
error	CoCompletionEngineTest	testSmartCharacterWithEventDontWritePairAfterDifferentCharacter
error	CoCompletionEngineTest	testSmartCharacterWithEventNoPairWhenCharLiteral
error	CoCompletionEngineTest	testSmartCharacterWithEventWriteClosingBeforeSameCharacter
error	CoCompletionEngineTest	testSmartCharacterWithEventWritePairAfterSameCharacter
error	CoCompletionEngineTest	testSmartCharacterWithEventWritePairInsideExistingPair
error	CoCompletionEngineTest	testSmartDoubleQuoteDoesNotEscapeQuote
error	CoCompletionEngineTest	testSmartDoubleQuoteSurroundsEscapesSelection
error	CoCompletionEngineTest	testSmartDoubleQuoteSurroundsSelection
error	CoCompletionEngineTest	testSmartNeedExtraRemoveInForOppositeAt
error	CoCompletionEngineTest	testSmartNeedExtraRemoveInForOppositeAtNoRemoveForLiterals
error	CoCompletionEngineTest	testSmartQuoteSurroundsDoesNotEscapeDoubleQuote
error	CoCompletionEngineTest	testTypeCharacterWithoutResultsDoesNotCloseContext
error	CoCompletionEngineTest	testTypeCharacterWithoutResultsNarrowsSelection
error	CoCompletionEngineTest	testUndoAutocompleteLeavesCursorInOriginalPosition
error	CoCompletionEngineTest	testUndoCompletionEntryKeepsFollowingLine
error	CoCompletionEngineTest	testWriteSmartCharacterPairInsideExistingPair
error	CoStaticBenchmarksTest	testInspectionResults
error	CompletionEngineTest	testCompletionAfterKeyword
error	CompletionEngineTest	testCompletionAfterWord
error	CompletionEngineTest	testCompletionBeforeKeywordColumn
error	CompletionEngineTest	testCompletionBeforeWord
error	CompletionEngineTest	testCompletionOnBinary
error	CompletionEngineTest	testCompletionOnFirstLetter
error	CompletionEngineTest	testCompletionOnNoWord
error	CompletionEngineTest	testCompletionOnSingleLetter
error	CompletionEngineTest	testCompletionOpenOnUnderscore
