# 21 tests pass on cog but not on sunit-2026-04-21c-jit-nojit
# columns: status	class	selector
fail	ClassQueryTest	testAllCallsOn
error	EDEmergencyDebuggerTest	testShowMoreRecentMethodVersion
fail	EpDisabledIntegrationTest	testWhenEnabledTwiceShouldNotDuplicateEntries
error	FBDBytecodeDecompilerExamplesTest	testExampleIfTrue
error	FBDBytecodeDecompilerExamplesTest	testExampleSimpleBlockReturn
fail	FFICallbackParametersTest	testCharacterParameters
fail	FFICallbackParametersTest	testFloatParameters
timeout	FFICallbackParametersTest	testIntegerParameters
timeout	FinalizationRegistryTest	testFinalization
timeout	FinalizationRegistryTest	testFinalizationRemovesEntryFromRegistry
timeout	FinalizationRegistryTest	testFinalizationWithMultipleFinalizersPerObject
timeout	FinalizationRegistryTest	testFinalizationWithOnFork
timeout	FinalizationRegistryTest	testFinalizationWithOnFork2
error	OCSpecialSelectorTest	testUnoptimisedValueSpecialSendsMessageCapturesSend
fail	ObjectFinalizerTest	testFinalizationOfMultipleResources
fail	ProcessMonitorTestServiceTest	testFailTestWhenBackgroundProcessWasFailedDuringFinalTryToFinishItAtTestCompletionTime
fail	TestExecutionEnvironmentTest	testHandleForkedProcessesByAllServices
error	TraitTest	testTraitsMethodClassSanity
fail	TraitTest	testTraitsUsersSanity
fail	WeakAnnouncerTest	testWeakDoubleAnnouncer
fail	WeakAnnouncerTest	testWeakObject
