# 17 tests pass on cog but not on sunit-2026-04-21d-jit-nojit
# columns: status	class	selector
fail	ClassQueryTest	testAllCallsOn
error	EDDebuggingAPITest	testRevertToInContext
error	EDEmergencyDebuggerTest	testRevertCurrentMethodToSelectedVersion
fail	FFICallbackParametersTest	testCharacterParameters
timeout	FFICallbackParametersTest	testFloatParameters
timeout	FinalizationRegistryTest	testFinalization
timeout	FinalizationRegistryTest	testFinalizationRemovesEntryFromRegistry
timeout	FinalizationRegistryTest	testFinalizationWithMultipleFinalizersPerObject
timeout	FinalizationRegistryTest	testFinalizationWithOnFork
timeout	FinalizationRegistryTest	testFinalizationWithOnFork2
error	OCSpecialSelectorTest	testUnoptimisedValueSpecialSendsMessageCapturesSend
fail	ObjectFinalizerTest	testFinalizationOfMultipleResources
fail	ProcessMonitorTestServiceTest	testFailTestWhenBackgroundProcessWasFailedDuringFinalTryToFinishItAtTestCompletionTime
fail	TestExecutionEnvironmentTest	testHandleForkedProcessesByAllServices
fail	TraitTest	testTraitsUsersSanity
fail	WeakAnnouncerTest	testWeakDoubleAnnouncer
fail	WeakAnnouncerTest	testWeakObject
