# 89 tests pass on cog but not on sunit-2026-04-21f-jit-nojit
# columns: status	class	selector
fail	ClassQueryTest	testAllCallsOn
error	ClyBrowserToolValidityTest	testWindowLabelIsUpdatedAfterPackageRemoval
error	ClySubclassScopeTest	testClassEnumerationOverClassWhenConcreteClassScopeIsLocal
error	DTTestCoverageTest	testDTTestCoverageResultAsResultForDrTests
error	DTTestCoverageTest	testPackagesAvailableInTestCoveragePlugin
error	DrTestsTestRunnerTest	testAllSelectedClassesAreTestCases
error	DrTestsTestRunnerTest	testSelectedPackagesContainTestCases
error	DrTestsTestRunnerUITest	testRunTestsUpdatesUIWithResults
error	DrTestsUITest	testClickButtonRunCallsPluginRun
error	DrTestsUITest	testCurrentPluginIsSelectedInDropDown
error	DrTestsUITest	testInitialPackagesAreInitialPluginPackages
error	DrTestsUITest	testInitialResultListIsEmpty
error	DrTestsUITest	testInitialSelectedPluginIsFirstPluginInList
error	DrTestsUITest	testInitialStatusIsInitialStatusPluginName
error	DrTestsUITest	testInitialWindowTitleIsInitialPluginWindowTitle
error	DrTestsUITest	testMultipleSelectingPackagesWillUpdateTheClassesList
error	DrTestsUITest	testNoPackageSelected
error	DrTestsUITest	testPluginsAreConfiguredPluginsOnly
error	DrTestsUITest	testSelectingPackageWillUpdateTheClassesList
error	DrTestsUITest	testSelectingPluginWillUpdateCurrentPluginInstanceVariable
error	DrTestsUITest	testSelectingPluginWillUpdatePackagesList
error	DrTestsUITest	testSelectingPluginWillUpdateWindowTitle
error	DrTestsUITest	testStartButtonHelpIsCurrentPluginStartButtonHelp
error	DrTestsUITest	testStartButtonLabelIsCurrentPluginStartButtonLabel
error	EDDebuggingAPITest	testAllRunningProcesses
error	EDDebuggingAPITest	testAttachTo
error	EDDebuggingAPITest	testChangeRecordsForMethod
error	EDDebuggingAPITest	testCloseEmergencySession
error	EDDebuggingAPITest	testContextAt
error	EDDebuggingAPITest	testDisplayStackSize
error	EDDebuggingAPITest	testDumpStack
error	EDDebuggingAPITest	testForbiddenProcesses
error	EDDebuggingAPITest	testInitialize
error	EDDebuggingAPITest	testLongStack
error	EDDebuggingAPITest	testLongStackSize
error	EDDebuggingAPITest	testMethodAt
error	EDDebuggingAPITest	testMethodVersionAt
error	EDDebuggingAPITest	testMethodVersionSizeAt
error	EDDebuggingAPITest	testNodeAt
error	EDDebuggingAPITest	testNodeForContext
error	EDDebuggingAPITest	testResetStack
error	EDDebuggingAPITest	testRestartContextAt
error	EDDebuggingAPITest	testRevertTo
error	EDDebuggingAPITest	testRevertToInContext
error	EDDebuggingAPITest	testStack
error	EDDebuggingAPITest	testStackAt
error	EDDebuggingAPITest	testStackFromTo
error	EDDebuggingAPITest	testStackSize
error	EDDebuggingAPITest	testTerminateProcesses
error	EDDebuggingAPITest	testTerminateSession
error	EDDebuggingAPITest	testVersionsForMethod
error	EDEmergencyDebuggerTest	testBasicDebug
error	EDEmergencyDebuggerTest	testComposeDisplayText
error	EDEmergencyDebuggerTest	testComposeErrorTextFrom
error	EDEmergencyDebuggerTest	testComposeMethodText
error	EDEmergencyDebuggerTest	testComposePromptWith
error	EDEmergencyDebuggerTest	testComposeResultTitle
error	EDEmergencyDebuggerTest	testComposeStackTest
error	EDEmergencyDebuggerTest	testComposeStackText
error	EDEmergencyDebuggerTest	testComposeTitleText
error	EDEmergencyDebuggerTest	testDebugAPI
error	EDEmergencyDebuggerTest	testDefaultDebugAPI
error	EDEmergencyDebuggerTest	testDefaultResultText
error	EDEmergencyDebuggerTest	testFromError
error	EDEmergencyDebuggerTest	testInitialMethodVersion
error	EDEmergencyDebuggerTest	testIsRunning
error	EDEmergencyDebuggerTest	testMoveDownInStack
error	EDEmergencyDebuggerTest	testMoveDownInStackFromLastElement
error	EDEmergencyDebuggerTest	testMoveUpInStack
error	EDEmergencyDebuggerTest	testMoveUpInStackFromFirstElement
error	EDEmergencyDebuggerTest	testNewTextStream
error	EDEmergencyDebuggerTest	testRevertCurrentMethodToSelectedVersion
error	EDEmergencyDebuggerTest	testSelectedMethodVersion
error	EDEmergencyDebuggerTest	testSelectedMethodVersionsSize
error	EDEmergencyDebuggerTest	testSeparator
error	EDEmergencyDebuggerTest	testShiftDownShortStack
error	EDEmergencyDebuggerTest	testShiftUpShortStack
error	EDEmergencyDebuggerTest	testShortStack
error	EDEmergencyDebuggerTest	testShowMoreRecentMethodVersion
error	EDEmergencyDebuggerTest	testShowOlderMethodVersion
error	EDEmergencyDebuggerTest	testShowSelectedMethodVersion
error	EDEmergencyDebuggerTest	testTerminate
error	EDEmergencyDebuggerTest	testUpdateDisplay
error	EDEmergencyDebuggerTest	testUpdatePrompt
error	EDEmergencyDebuggerTest	testUpdateShortStackForDisplay
error	EDEmergencyDebuggerTest	testWriteSectionTitleOn
error	EDEmergencyDebuggerTest	testWriteSeparatorOn
fail	ProcessMonitorTestServiceTest	testFailTestWhenBackgroundProcessWasFailedDuringFinalTryToFinishItAtTestCompletionTime
fail	TestExecutionEnvironmentTest	testHandleForkedProcessesByAllServices
