# 11 tests pass on cog but not on sunit-2026-04-21o-jit-nojit
# columns: status	class	selector
fail	ClassQueryTest	testAllCallsOn
fail	FFICallbackParametersTest	testCharacterParameters
timeout	FFICallbackParametersTest	testFloatParameters
timeout	FFICallbackParametersTest	testIntegerParameters
timeout	FFICallbackParametersTest	testIntegerPointerParameters
timeout	FFICallbackParametersTest	testMixingParameters
timeout	FFICallbackParametersTest	testPassing2DoubleStructureInTheStack
timeout	FFICallbackParametersTest	testPassing2Int64StructureInTheStack
fail	ProcessMonitorTestServiceTest	testFailTestWhenBackgroundProcessWasFailedDuringFinalTryToFinishItAtTestCompletionTime
fail	TestExecutionEnvironmentTest	testHandleForkedProcessesByAllServices
fail	TraitTest	testTraitsUsersSanity
