# 23 tests pass on cog but not on sunit-2026-04-22-ours
# columns: status	class	selector
error	CoverageCollectorTest	testBasicCoverage
error	CoverageCollectorTest	testExample
error	CoverageCollectorTest	testNoCoverage
error	CoverageCollectorTest	testNodeCoverage
error	CoverageCollectorTest	testNodeCoverage2
error	CoverageDemoTest	testCoverageAST
error	CoverageDemoTest	testCoverageControlFlow
error	CoverageDemoTest	testCoverageMethod
error	ExecutionCounterTest	testCounting
error	ExecutionCounterTest	testCountingAfterReset
error	ExecutionCounterTest	testGlobalCounterReferenceAfterInstallation
error	ExecutionCounterTest	testGlobalCounterReferenceAfterRemovingFromMethod
error	ExecutionCounterTest	testGlobalCounterReferenceAfterUninstallInstallation
error	ExecutionCounterTest	testInstallCounter
error	ExecutionCounterTest	testMultipleCounters
error	ExecutionCounterTest	testRemoveCounterFromMethod
error	ExecutionCounterTest	testReseting
error	ExecutionCounterTest	testUninstallCounter
error	OCCacheResetTest	testCacheResetPreserveLinks
fail	ProcessMonitorTestServiceTest	testFailTestWhenBackgroundProcessWasFailedDuringFinalTryToFinishItAtTestCompletionTime
fail	TestExecutionEnvironmentTest	testHandleForkedProcessesByAllServices
error	TraitTest	testTraitSourceIsPersistedWithRemovalOfMetalinks
fail	TraitTest	testTraitsUsersSanity
